Keyword,Intent,Volume,Keyword Difficulty,CPC (USD),SERP Features
is bourbon whiskey gluten free,Informational,1000,8,0.00,"Sitelinks, AI Overview, Reviews, Video, Short videos, People also ask, Related searches"
is jack daniels a bourbon,Informational,1000,10,0.31,"Sitelinks, AI Overview, Video, Video carousel, Short videos, People also ask, Discussions and forums, Related searches"
what does bourbon taste like,Informational,1000,5,0.04,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Discussions and forums, Related searches"
what is a good bourbon,Commercial,1000,23,0.30,"Sitelinks, AI Overview, Image, Video, People also ask, Related searches, Popular products"
what is bourbon whiskey,Informational,1000,25,0.03,"Sitelinks, AI Overview, Image pack, Video, Short videos, People also ask, Related searches"
what is bourbon whisky,Informational,1000,19,0.04,"Sitelinks, AI Overview, Video, People also ask, Related searches"
what is burbon made from,Informational,1000,25,0.29,"AI Overview, Image pack, Video, Video carousel, People also ask, Related searches"
what to mix with bourbon,Informational,1000,13,0.68,"Sitelinks, AI Overview, Reviews, Image pack, Video, Video carousel, Short videos, People also ask, Discussions and forums, Related searches"
what to mix with whiskey bourbon,Informational,1000,21,0.34,"Sitelinks, AI Overview, Reviews, Video, Video carousel, People also ask, Discussions and forums, Related searches, Ads bottom"
where to buy blanton's bourbon,Transactional,1000,28,1.28,"Sitelinks, Reviews, Video, People also ask, Local pack, Related searches, Popular products"
is crown royal bourbon,Informational,880,8,0.46,"Sitelinks, AI Overview, Video, Video carousel, Short videos, People also ask, Related searches"
is jack daniels bourbon or whiskey,Informational,880,13,0.29,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches"
is jim beam bourbon,Informational,880,31,3.00,"Sitelinks, Reviews, Video, Video carousel, Short videos, People also ask, Discussions and forums, Related searches"
is maker's mark bourbon,"Informational, Commercial",880,34,0.00,"Sitelinks, AI Overview, Reviews, Video, People also ask, Discussions and forums, Related searches, Popular products"
is whiskey bourbon,Informational,880,16,0.02,"Sitelinks, AI Overview, People also ask, Knowledge panel, Discussions and forums, Related searches"
what is bourbon made of,Informational,880,28,0.31,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches"
what makes whiskey bourbon,Informational,880,24,0.02,"Sitelinks, AI Overview, Video, People also ask, Related searches"
what's the difference between scotch and bourbon,Informational,880,16,0.03,"Sitelinks, AI Overview, Video, Video carousel, Short videos, People also ask, Discussions and forums, Related searches"
where is bourbon made,Informational,880,27,0.30,"Sitelinks, AI Overview, Image pack, Video, Short videos, People also ask, Related searches"
are whiskey and bourbon the same,Informational,720,11,0.03,"Sitelinks, AI Overview, Image pack, Video, Video carousel, People also ask, Related searches"
does bourbon go bad,Informational,720,9,0.03,"Sitelinks, AI Overview, Video, Short videos, People also ask, Related searches"
does bourbon have sugar,Informational,720,12,1.10,"Sitelinks, AI Overview, Video, People also ask, Related searches"
how do i make bourbon,Informational,720,19,0.37,"AI Overview, Video, Video carousel, Short videos, People also ask, Recipes, Discussions and forums, Related searches"
how to drink bourbon whiskey,Informational,720,7,0.25,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Discussions and forums, Related searches"
how to make bourbon whiskey,Informational,720,14,0.37,"AI Overview, Reviews, Video, Video carousel, Short videos, People also ask, Recipes, Related searches"
is bourbon whiskey the same as bourbon,Informational,720,9,0.03,"Sitelinks, AI Overview, Video, Video carousel, Short videos, People also ask, Discussions and forums, Related searches"
is jack daniels a whiskey or bourbon,Informational,720,8,0.29,"Sitelinks, AI Overview, Video, Video carousel, Short videos, People also ask, Discussions and forums, Related searches"
is maker's mark a bourbon,Informational,720,34,0.00,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Knowledge panel, Discussions and forums, Related searches"
what is bourbon chicken,Informational,720,35,0.02,"AI Overview, Reviews, Image, Video, Short videos, People also ask, Recipes, Related searches"
what is the best bourbon whiskey,Commercial,720,17,0.32,"Sitelinks, AI Overview, Reviews, Image, Video, People also ask, Related searches, Popular products"
what is the difference between scotch and bourbon,"Informational, Commercial",720,5,0.02,"AI Overview, Reviews, People also ask, Discussions and forums, Related searches"
what makes a bourbon,Informational,720,30,0.02,"AI Overview, Video, Video carousel, People also ask, Related searches"
what's the difference between bourbon and scotch,Informational,720,6,0.03,"Sitelinks, AI Overview, Video, Short videos, People also ask, Discussions and forums, Related searches"
where can i buy blanton's bourbon,Transactional,720,30,1.28,"Sitelinks, AI Overview, People also ask, Local pack, Discussions and forums, Related searches, Popular products"
where is bourbon street,Informational,720,28,0.58,"AI Overview, Reviews, Image, Video, Video carousel, Short videos, People also ask, Discussions and forums, Related searches"
are bourbon and bourbon whiskey the same,Informational,590,8,0.02,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches"
how do you drink bourbon,Informational,590,7,0.25,"Sitelinks, AI Overview, Video, Video carousel, Short videos, People also ask, Discussions and forums, Related searches"
how do you make bourbon,Informational,590,26,0.37,"AI Overview, Video, People also ask, Recipes, Related searches"
how do you make bourbon chicken,Informational,590,24,0.08,"AI Overview, Reviews, Video, Video carousel, Short videos, People also ask, Recipes, Related searches"
how is bourbon whiskey made,Informational,590,26,0.25,"Sitelinks, AI Overview, Video, People also ask, Related searches"
how many carbs in bourbon,Informational,590,7,0.00,"Sitelinks, AI Overview, People also ask, Related searches"
how much sugar is in bourbon,Informational,590,5,1.22,"Sitelinks, AI Overview, Video, People also ask, Related searches"
is all bourbon whiskey,"Informational, Commercial",590,12,0.03,"Sitelinks, AI Overview, Video, Short videos, People also ask, Discussions and forums, Related searches"
is bourbon and whiskey the same,Informational,590,10,0.03,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Discussions and forums, Related searches"
is jack daniels a bourbon or whiskey,Informational,590,12,0.23,"Sitelinks, AI Overview, Reviews, Video, Short videos, People also ask"
is jack daniels whiskey or bourbon,Informational,590,12,0.23,"Sitelinks, AI Overview, Video, People also ask, Discussions and forums, Related searches"
what bourbon whiskey is made from nyt,Informational,590,13,0.00,"Sitelinks, AI Overview, Video, People also ask, Related searches"
what is a bourbon,Informational,590,14,0.03,"AI Overview, Image pack, Video, Video carousel, Short videos, People also ask, Related searches"
what is bourbon whiskey made of,Informational,590,25,0.26,"Sitelinks, AI Overview, Video, Short videos, People also ask, Related searches"
what's bourbon,Informational,590,23,0.04,"AI Overview, Image pack, Video, Video carousel, Short videos, People also ask, Discussions and forums"
what's the difference between scotch whiskey and bourbon,Informational,590,5,0.03,"Sitelinks, AI Overview, Video, Short videos, People also ask, Discussions and forums, Related searches"
where is the bourbon trail,Informational,590,51,0.28,"Sitelinks, AI Overview, Image, Image pack, Video, People also ask, Local pack, Related searches"
who makes blanton's bourbon,Informational,590,25,0.53,"Sitelinks, AI Overview, Reviews, Video, People also ask, Related searches"
can bourbon be made outside of kentucky,Informational,480,29,0.00,"Sitelinks, AI Overview, Video, People also ask, Discussions and forums, Related searches"
can bourbon go bad,Informational,480,6,0.03,"Sitelinks, AI Overview, Video, Video carousel, Short videos, People also ask, Related searches"
do bourbons have to be made in kentucky,Informational,480,40,0.03,"Sitelinks, AI Overview, Video, People also ask, Discussions and forums, Related searches"
does bourbon have carbs,Informational,480,11,0.04,"Sitelinks, AI Overview, Reviews, People also ask, Related searches"
how many bottles in a barrel of bourbon,Informational,480,8,0.00,"Sitelinks, AI Overview, Video, People also ask, Related searches"
how many bottles of bourbon in a barrel,Informational,480,8,0.00,"Sitelinks, AI Overview, Video, People also ask, Discussions and forums, Related searches"
how many carbs in bourbon whiskey,Informational,480,8,0.00,"Sitelinks, AI Overview, Reviews, People also ask, Related searches"
how much sugar is in bourbon whiskey,Informational,480,4,1.22,"Sitelinks, AI Overview, Video, People also ask, Related searches"
how to make a manhattan with bourbon,Informational,480,23,0.77,"Sitelinks, AI Overview, Reviews, Video, Video carousel, People also ask, Recipes, Related searches"
how to make bourbon sauce,Informational,480,14,0.00,"AI Overview, Reviews, Video, Video carousel, People also ask, Recipes, Related searches"
